OCORRÊNCIA;ASSUNTO;ITEM;MOTIVO;DATA ABERTURA;DATA FINALIZADA;ORIGEM;NATUREZA;REABERTURA
12446569;EMPRÉSTIMOS E FINANCIAMENTOS;CDC - CRÉDITO DIRETO CAIXA;LIMITE DE CRÉDITO;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446575;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;BOLETO - EMISSÃO / ENVIO;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446583;CANAIS DE ATENDIMENTO;SALAS DE AUTO ATENDIMENTO - AGÊNCIA;FALTA DE DINHEIRO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446584;AGÊNCIA;AGÊNCIA - ATENDIMENTO;NÃO CONSEGUIU SER ATENDIDO PELO TELEFONE;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446588;CONTAS;GOLPE;FRAUDE VIA WHATSAPP;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446592;SERVIÇOS BANCÁRIOS;COBRANA  BANCRIA;COBRANÇA INDEVIDA;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446594;CONTAS;CONTA POUPANÇA - PF;CONTESTAÇÃO - MOVIMENTAÇÃO FRAUDULENTA VIA IBC (SITE OU APP);22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446598;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;REAJUSTE DA PRESTAÇÃO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446608;CONTAS;GOLPE;OUTROS GOLPES;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446610;EMPRÉSTIMOS E FINANCIAMENTOS;CRÉDITO CONSIGNADO - MANUTENÇÃO;DÉBITO EM CONTA;22/09/2021;23/09/2021;AGÊNCIA;RECLAMAÇÃO;NÃO
12446613;CARTÕES;CARTO DE DBITO;VALIDADE/VENCIMENTO DO CARTO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446614;CONTAS;GOLPE;OUTROS GOLPES;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446622;AGÊNCIA;RECUSA NO ATENDIMENTO;RECUSA NA DISTRIBUIO DE SENHAS;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446633;INTERNET/INTRANET/APP;INTERNET BANKING;ASSINATURA ELETRÔNICA BLOQUEADA;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446641;CONTAS;CONTA CORRENTE - PF;CONTESTAÇÃO - MOVIMENTAÇÃO FRAUDULENTA VIA CARTO DE DBITO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446652;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;EMISSO DE TERMO DE QUITAO E CCI;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446655;CONTAS;GOLPE;FALSO EMPRSTIMO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446659;HABITAÇÃO;MINHA CASA MINHA VIDA - FAIXA 1,5/2/3;AMORTIZAO E QUITAO DO SALDO  DEVEDOR;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446664;SERVIÇOS BANCÁRIOS;TEV - TRANSFERNCIA DE VALORES;DEMORA OU NÃO EFETIVAÇÃO DO CRÉDITO - CONTA CAIXA;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446666;EMPRÉSTIMOS E FINANCIAMENTOS;FIES;ADITAMENTO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446669;CONTAS;GOLPE;FALSO EMPRSTIMO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446670;CONTAS;CONTA POUPANÇA - PF;CONTESTAÇÃO - MOVIMENTAÇÃO FRAUDULENTA VIA CARTO DE DBITO;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446679;CONTAS;CONTA POUPANÇA - PF;EXTRATO - EMISSÃO / ENVIO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446685;AGÊNCIA;RECUSA NO ATENDIMENTO;OBRIGATORIEDADE DO USO DE CANAIS ALTERNATIVOS;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446686;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;EMISSO DE TERMO DE QUITAO E CCI;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446692;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;BOLETO - EMISSÃO / ENVIO;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446700;CONTAS;CONTA POUPANÇA - PF;ALTERAÇÃO CADASTRAL VIA TELEFONE;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446720;HABITAÇÃO;MINHA CASA MINHA VIDA - FAIXA 1,5/2/3;COBRANÇA INDEVIDA;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446723;EMPRÉSTIMOS E FINANCIAMENTOS;CDC - CRÉDITO DIRETO CAIXA;COBRANÇA - RENEGOCIAÇÃO DE DÍVIDA;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446727;CARTÕES;CARTO DE DBITO;FUNCIONAMENTO DO CARTÃO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446732;AGÊNCIA;AGÊNCIA - ATENDIMENTO;COMPORTAMENTO DO EMPREGADO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446735;EMPRÉSTIMOS E FINANCIAMENTOS;CRÉDITO CONSIGNADO - MANUTENÇÃO;COBRANÇA INDEVIDA;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446738;SERVIÇOS BANCÁRIOS;ARRECADAO DE TRIBUTOS FEDERAIS - DARF/GPS/SIMPLES NACIONAL/ DAE ESOCIAL;AGENDAMENTO;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446759;EMPRÉSTIMOS E FINANCIAMENTOS;CRÉDITO CONSIGNADO - CONCESSÃO;LIBERAÇÃO DE EMPRÉSTIMO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446763;CONTAS;CONTA POUPANÇA - PF;ABERTURA FRAUDULENTA;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446772;CARTÕES;CARTO DE DBITO;CARTÃO - EMISSÃO / ENVIO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446773;HABITAÇÃO;MINHA CASA MINHA VIDA - FAIXA 1,5/2/3;MANUTENÇÃO DE CONTRATO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446792;AGÊNCIA;AGÊNCIA - ATENDIMENTO;NÃO CONSEGUIU SER ATENDIDO PELO TELEFONE;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446805;CARTÕES;CARTO  DE CRDITO CONSIGNADO;OMISSÃO DE INFORMAÇÕES NA VENDA;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446816;VENDA CASADA;AGÊNCIA;CAIXA SEGURO PRESTAMISTA;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446828;AGÊNCIA;RECUSA NO ATENDIMENTO;RECUSA NO ATENDIMENTO SEM AGENDAMENTO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446837;HABITAÇÃO;MINHA CASA MINHA VIDA - FAIXA 1,5/2/3;COBRANÇA INDEVIDA;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446838;AGÊNCIA;AGÊNCIA - ATENDIMENTO;NÃO CONSEGUIU SER ATENDIDO PELO TELEFONE;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446849;EMPRÉSTIMOS E FINANCIAMENTOS;FIES;COBRANÇA - RENEGOCIAÇÃO DE DÍVIDA;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446879;CARTÕES;CARTO DE DBITO;BLOQUEIO E DESBLOQUEIO DO CARTÃO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446892;SERVIÇOS BANCÁRIOS;COBRANA  BANCRIA;COBRANÇA INDEVIDA;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446899;INTERNET/INTRANET/APP;INTERNET BANKING;ASSINATURA ELETRÔNICA BLOQUEADA;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446900;EMPRÉSTIMOS E FINANCIAMENTOS;CDC - CRÉDITO DIRETO CAIXA;DÉBITO EM CONTA;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446913;AGÊNCIA;RECUSA NO ATENDIMENTO;RECUSA NO ATENDIMENTO SEM AGENDAMENTO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446922;CONTAS;GOLPE;FALSO EMPRSTIMO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446925;CANAIS DE ATENDIMENTO;CASA LOTÉRICA;FALTA DE DINHEIRO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446926;CONTAS;GOLPE;OUTROS GOLPES;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446928;TARIFAS;CONTAS PF;SAQUE;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446930;CARTÕES;CARTO DE DBITO;CARTÃO - EMISSÃO / ENVIO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446934;CONTAS;CONTA POUPANÇA - PF;DEPÓSITO / PAGAMENTO  NÃO EFETIVADO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446946;AGÊNCIA;AGÊNCIA - ATENDIMENTO;NÃO CONSEGUIU SER ATENDIDO PELO TELEFONE;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446964;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;AVALIAÇÃO DO IMÓVEL;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446979;AGÊNCIA;AGÊNCIA - ATENDIMENTO;NÃO CONSEGUIU SER ATENDIDO PELO TELEFONE;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446980;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;CADASTRO RESTRITIVO - INCLUSÃO INDEVIDA;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446982;FGTS;FGTS - LIBERAÇÃO DO SALDO;CRITRIO PARA PAGAMENTO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446986;FGTS;FGTS - LIBERAÇÃO DO SALDO;CONTA BLOQUEADA;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12446988;EMPRÉSTIMOS E FINANCIAMENTOS;CDC - CRÉDITO DIRETO CAIXA;CADASTRO RESTRITIVO - INCLUSÃO INDEVIDA;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12446991;CONTAS;CONTA POUPANÇA - PF;CONTESTAÇÃO - MOVIMENTAÇÃO FRAUDULENTA VIA IBC (SITE OU APP);22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447007;EMPRÉSTIMOS E FINANCIAMENTOS;CDC - CRÉDITO DIRETO CAIXA;CANCELAMENTO;22/09/2021;23/09/2021;TELEFONE;SOLICITAÇÃO;NÃO
12447027;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;LIBERAÇÃO DO VALOR DA VENDA PARA O VENDEDOR;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12447028;CONTAS;GOLPE;FRAUDE VIA WHATSAPP;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12447029;FGTS;FGTS - SAQUE ANIVERSRIO;CONTA BLOQUEADA;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447031;CONTAS;CONTA CORRENTE - PF;CONTESTAÇÃO - MOVIMENTAÇÃO FRAUDULENTA VIA CARTO DE DBITO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12447038;CONTAS;CONTA POUPANÇA - PF;CONTESTAÇÃO - MOVIMENTAÇÃO FRAUDULENTA VIA IBC (SITE OU APP);22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447041;CARTÕES;CARTO DE DBITO;CARTÃO - EMISSÃO / ENVIO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12447042;CARTÕES;CARTO DE DBITO;CARTÃO - EMISSÃO / ENVIO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447048;EMPRÉSTIMOS E FINANCIAMENTOS;PENHOR;RESGATE;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447052;AGÊNCIA;AGÊNCIA - ATENDIMENTO;NÃO CONSEGUIU SER ATENDIDO PELO TELEFONE;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12447053;EMPRÉSTIMOS E FINANCIAMENTOS;NOVO FIES;COBRANÇA - BOLETO DE PAGAMENTO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12447057;EMPRÉSTIMOS E FINANCIAMENTOS;GIRO  CAIXA;COBRANÇA - RENEGOCIAÇÃO DE DÍVIDA;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447061;HABITAÇÃO;MINHA CASA MINHA VIDA - FAIXA 1,5/2/3;REAJUSTE DA PRESTAÇÃO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447066;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;CADASTRO RESTRITIVO - INCLUSÃO INDEVIDA;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447080;AGÊNCIA;AGÊNCIA - ATENDIMENTO;COMPORTAMENTO DO PRESTADOR DE SERVIÇOS;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12447084;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;CADASTRO RESTRITIVO - INCLUSÃO INDEVIDA;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12447085;AGÊNCIA;AGÊNCIA - ATENDIMENTO;ENCERRAMENTO DE CONTA NÃO EFETUADO;22/09/2021;23/09/2021;AGÊNCIA;RECLAMAÇÃO;NÃO
12447086;EMPRÉSTIMOS E FINANCIAMENTOS;NOVO FIES;COBRANÇA - BOLETO DE PAGAMENTO;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12447089;CARTÕES;CARTO DE DBITO;DÉBITO EM DUPLICIDADE;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447091;CONTAS;GOLPE;OUTROS GOLPES;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447092;CONTAS;CONTA POUPANÇA - PF;EXTRATO - CLAREZA DAS INFORMAÇÕES;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12447095;CONTAS;CONTA POUPANÇA - PF;CONTESTAÇÃO - MOVIMENTAÇÃO FRAUDULENTA VIA IBC (SITE OU APP);22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
